Watchlist 'Top10 Active NYSE'||||||||||||||||||||
||||||||||||||||||||
Top10 Active NYSE||||||||||||||||||||
Description|Symbol|%Change|EPS|PE|Volume|Market Cap|Shares|Net Chng|52Low|Low|Last|Close|Open|High|52High|Bid|Ask|RSI|Div. Payout Per Share (% of EPS) - Current|Open.Int
NOKIA OYJ ADR SPONSORED|NOK|0.00%|-0.11|-45.09|0|"27|770 M"|"5|598|710|000"|0|4.71|0|4.96|4.96|0|0|6.65|4.97|5.01|32.61|<empty>|0
ADVANCED MICRO DEVICES INC COM|AMD|0.00%|0.25|112|0|"30|296 M"|"1|081|600|720"|0|12.71|0|28.01|28.01|0|0|34.14|28.19|28.19|54.54|0|0
GENERAL ELECTRIC CO COM|GE|0.00%|-2.08|-4.87|0|"88|342 M"|"8|720|808|000"|0|6.401932|0|10.13|10.13|0|0|14.985903|10.13|10.15|54.33|90.242|0
CHESAPEAKE ENERGY CORP COM|CHK|0.00%|0.83|3.048|0|"4|133 M"|"1|633|677|800"|0|1.71|0|2.53|2.53|0|0|5.6|2.52|2.55|38.18|0|0
BANK OF AMERICA CORPORATION COM|BAC|0.00%|2.69|10.63|0|"271|840 M"|"9|508|203|200"|0|22.66|0|28.59|28.59|0|0|31.91|28.59|28.63|39.57|20.707|0
FORD MOTOR CO COM|F|0.00%|0.78|13.33|0|"41|491 M"|"3|989|545|900"|0|7.41|0|10.4|10.4|0|0|12.15|10.36|10.38|63.55|67.548|0
MICRON TECHNOLOGY INC COM|MU|0.00%|10.89|3.426|0|"41|290 M"|"1|106|687|010"|0|28.39|0|37.31|37.31|0|0|64.66|37.51|37.55|32.19|0|0
PFIZER INC COM|PFE|0.00%|1.96|21.24|0|"231|515 M"|"5|559|929|200"|0|35.32|0|41.64|41.64|0|0|46.47|41.55|41.75|56.8|78.493|0
SPRINT CORPORATION COM|S|0.00%|-0.48|-12.67|0|"24|796 M"|"4|078|316|800"|0|5.04|0|6.08|6.08|0|0|6.61|6.07|6.2|57.21|0|0
AT&T INC COM|T|0.00%|2.66|11.89|0|"230|763 M"|"7|298|000|000"|0|26.8|0|31.62|31.62|0|0|34.53|31.62|31.7|59.03|73.269|0
